nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Ludlow,6280,WA,Stirling Estate,Capel,Bunbury,Bunbury,2
Ryde,2112,NSW,Ryde,Ryde - South,Ryde - Hunters Hill,Sydney - Ryde,1
Hughesdale,3166,VIC,Oakleigh,Oakleigh - Huntingdale,Monash,Melbourne - South East,1
Kardinya,6163,WA,Kardinya,Murdoch - Kardinya,Melville,Perth - South West,1
Wentworth Falls,2782,NSW,Wentworth Falls,Wentworth Falls,Blue Mountains,Sydney - Outer West and Blue Mountains,1
Saint Clair,2759,NSW,St Clair (Penrith - NSW),St Clair,St Marys,Sydney - Outer West and Blue Mountains,1
Narrabeen,2101,NSW,Narrabeen,Narrabeen - Wheeler Heights,Warringah,Sydney - Northern Beaches,1
Noranda,6062,WA,Noranda,Noranda,Stirling,Perth - North West,1
Mount Lawley,6050,WA,Menora,Yokine - Coolbinia - Menora,Stirling,Perth - North West,1
Wheeler Heights,2097,NSW,Wheeler Heights,Narrabeen - Wheeler Heights,Warringah,Sydney - Northern Beaches,1
Manor Lakes,3024,VIC,Wyndham Vale,Wyndham Vale - South,Wyndham,Melbourne - West,2
Mount Clear,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,2
Ocean Reef,6027,WA,Ocean Reef,Ocean Reef,Wanneroo,Perth - North West,1
Scarborough,6019,WA,Wembley Downs,Wembley Downs - Churchlands - Woodlands,Stirling,Perth - North West,1
Hermit Park,4812,QLD,Mundingburra,Mundingburra,Townsville,Townsville,2
Eltham,3095,VIC,Research,Research - North Warrandyte,Nillumbik - Kinglake,Melbourne - North East,1
Oak Park,3046,VIC,Oak Park,Pascoe Vale,Moreland - North,Melbourne - North West,1
Wheelers Hill,3150,VIC,Wheelers Hill,Wheelers Hill,Monash,Melbourne - South East,1
Kiama Downs,2533,NSW,Jamberoo,Kiama Hinterland - Gerringong,Southern Highlands,Southern Highlands and Shoalhaven,2
Moffat Beach,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,1
Withcott,4352,QLD,Gowrie Junction,Toowoomba - West,Toowoomba,Toowoomba,2
Taylors Hill,3037,VIC,Hillside (Melton - Vic.),Hillside,Melton - Bacchus Marsh,Melbourne - West,1
Lalor Park,2147,NSW,Seven Hills (NSW),Toongabbie - West,Blacktown,Sydney - Blacktown,1
Manly Vale,2093,NSW,North Balgowlah,Manly Vale - Allambie Heights,Warringah,Sydney - Northern Beaches,1
Gin Gin,2823,NSW,Gin Gin (NSW),Narromine,Dubbo,Far West and Orana,5
