nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Naremburn,2065,NSW,Wollstonecraft,Crows Nest - Waverton,North Sydney - Mosman,Sydney - North Sydney and Hornsby,1
Tregear,2770,NSW,Minchinbury,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,1
Norman Gardens,4701,QLD,Wattlebank,Rockhampton Surrounds - North,Rockhampton,Fitzroy,2
Heckenberg,2168,NSW,Cartwright,Lurnea - Cartwright,Liverpool,Sydney - South West,1
Belmont,2280,NSW,Valentine,Valentine - Eleebana,Lake Macquarie - East,Newcastle and Lake Macquarie,1
Maroochydore,4558,QLD,Maroochydore,Maroochydore - Kuluin,Nambour - Pomona,Sunshine Coast,1
Sunshine North,3020,VIC,Sunshine West,Derrimut,Brimbank,Melbourne - West,1
Eagleby,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,1
Woodcroft,2767,NSW,Rooty Hill,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,1
Homebush,2140,NSW,Homebush (NSW),Strathfield - East,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Birrong,2143,NSW,Regents Park (NSW),Regents Park,Auburn,Sydney - Parramatta,1
Wedderburn,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,1
Parramatta Park,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,2
Hendra,4011,QLD,Wooloowin,Wooloowin - Lutwyche,Brisbane Inner - North,Brisbane Inner City,1
Jamisontown,2750,NSW,Penrith,Cranebrook - Castlereagh,Penrith,Sydney - Outer West and Blue Mountains,1
Kianga,4718,QLD,Moura,Banana,Gladstone - Biloela,Fitzroy,5
Cannonvale,4802,QLD,Cannonvale,Airlie - Whitsundays,Whitsunday,Mackay,4
Coolum Beach,4573,QLD,Peregian Beach,Noosa Hinterland,Noosa,Sunshine Coast,1
Blair Athol,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,1
Oakhurst,2761,NSW,Plumpton (NSW),Hassall Grove - Plumpton,Mount Druitt,Sydney - Blacktown,1
Yangebup,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,1
Christies Beach,5165,SA,Christies Beach,Christies Beach,Onkaparinga,Adelaide - South,1
Binningup,6233,WA,Wellesley (WA),Harvey,Bunbury,Bunbury,2
Winston Hills,2153,NSW,Winston Hills,Winston Hills,Parramatta,Sydney - Parramatta,1
Dernancourt,5075,SA,Dernancourt,Highbury - Dernancourt,Tea Tree Gully,Adelaide - North,1
Wauchope,2446,NSW,Port Macquarie,Port Macquarie - South,Port Macquarie,Mid North Coast,3
Glenalta,5052,SA,Glenalta,Blackwood,Mitcham,Adelaide - South,1
Airport West,3042,VIC,Keilor East,Keilor East,Keilor,Melbourne - North West,1
Holland Park,4121,QLD,Tarragindi,Tarragindi,Nathan,Brisbane - South,1
Lorne,3232,VIC,Lorne (Vic.),Lorne - Anglesea,Surf Coast - Bellarine Peninsula,Geelong,5
Parkwood,6147,WA,Langford,Beckenham - Kenwick - Langford,Gosnells,Perth - South East,1
Cobbitty,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,1
Nowra,2541,NSW,South Nowra,Nowra,Shoalhaven,Southern Highlands and Shoalhaven,3
Mulgoa,2745,NSW,Luddenham,Badgerys Creek,Bringelly - Green Valley,Sydney - South West,1
Winter Valley,3358,VIC,Winter Valley,Delacombe,0,0,2
Menora,6050,WA,Menora,Yokine - Coolbinia - Menora,Stirling,Perth - North West,1
Blakehurst,2221,NSW,South Hurstville,South Hurstville - Blakehurst,Kogarah - Rockdale,Sydney - Inner South West,1
Hallett Cove,5158,SA,O'Halloran Hill,Happy Valley,Onkaparinga,Adelaide - South,1
Campbell,2612,ACT,Reid (ACT),Reid,North Canberra,Australian Capital Territory,1
Warwick,4370,QLD,Womina,Warwick,Granite Belt,Darling Downs - Maranoa,4
Kirwan,4817,QLD,Hervey Range,Northern Beaches,Townsville,Townsville,2
Northmead,2152,NSW,Northmead,Toongabbie - Constitution Hill,Parramatta,Sydney - Parramatta,1
Clifton Hill,3068,VIC,Clifton Hill,Clifton Hill - Alphington,Yarra,Melbourne - Inner,1
Newtown,2042,NSW,Newtown (NSW),Newtown (NSW),Sydney Inner City,Sydney - City and Inner South,1
Bayswater,6053,WA,Bayswater (WA),Bayswater - Embleton - Bedford,Bayswater - Bassendean,Perth - North East,1
Marangaroo,6064,WA,Marangaroo,Marangaroo,Wanneroo,Perth - North West,1
Seaview Downs,5049,SA,Marino,Marino - Seaview Downs,Marion,Adelaide - South,1
West Nowra,2541,NSW,South Nowra,Nowra,Shoalhaven,Southern Highlands and Shoalhaven,3
Chipping Norton,2170,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
Ocean Beach,6333,WA,Denmark,Denmark,Albany,Western Australia - Wheat Belt,5
Kenthurst,2156,NSW,Kenthurst,Dural - Kenthurst - Wisemans Ferry,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,1
George Town,7253,TAS,George Town,George Town,North East,Launceston and North East,5
Woodville West,5011,SA,St Clair (SA),Woodville - Cheltenham,Charles Sturt,Adelaide - West,1
Upper Kedron,4055,QLD,Ferny Hills,The Hills District,Hills District,Moreton Bay - South,1
Reid,5118,SA,Evanston Park,One Tree Hill,Playford,Adelaide - North,1
Chester Hill,2162,NSW,Chester Hill,Guildford - South Granville,Merrylands - Guildford,Sydney - Parramatta,1
Leongatha,3953,VIC,Leongatha,Leongatha,Gippsland - South West,Latrobe - Gippsland,4
Albion Park Rail,2527,NSW,Yellow Rock (Shellharbour - NSW),Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,1
Glendenning,2761,NSW,Plumpton (NSW),Hassall Grove - Plumpton,Mount Druitt,Sydney - Blacktown,1
Port Pirie South,5540,SA,Nelshaby,Port Pirie Surrounds,Mid North,Barossa - Yorke - Mid North,4
Bickley,6076,WA,Lesmurdie,Lesmurdie - Bickley - Carmel,Kalamunda,Perth - South East,1
Bagdad,7030,TAS,Bagdad,Southern Midlands,Central Highlands (Tas.),South East,2
Wollongbar,2477,NSW,Pearces Creek,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,3
Redan,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,2
Centenary Heights,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Osborne,5017,SA,Osborne (SA),North Haven,Port Adelaide - West,Adelaide - West,1
Kurmond,2757,NSW,Kurmond,Kurrajong Heights - Ebenezer,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,2
Bolton Point,2283,NSW,West Wallsend,West Wallsend - Barnsley - Killingworth,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Stirling,5152,SA,Leawood Gardens,Belair,Mitcham,Adelaide - South,1
Mount Eliza,3930,VIC,Mount Eliza,Mount Eliza,Mornington Peninsula,Mornington Peninsula,1
Fairlight,2095,NSW,Manly (NSW),Manly - Fairlight,Manly,Sydney - Northern Beaches,1
Byron Bay,2481,NSW,Myocum,Mullumbimby,Richmond Valley - Coastal,Richmond - Tweed,4
Altona Meadows,3028,VIC,Laverton (Vic.),Laverton,Wyndham,Melbourne - West,1
Craigburn Farm,5051,SA,Coromandel Valley,Coromandel Valley,Onkaparinga,Adelaide - South,1
Rothwell,4022,QLD,Rothwell,Scarborough - Newport,Redcliffe,Moreton Bay - North,1
Campsie,2194,NSW,Campsie,Canterbury - South,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Bucasia,4750,QLD,Bucasia,Shoal Point - Bucasia,Mackay,Mackay,2
Biggera Waters,4216,QLD,South Stradbroke,Hope Island,Ormeau - Oxenford,Gold Coast,1
Torquay,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,2
Dean Park,2761,NSW,Plumpton (NSW),Hassall Grove - Plumpton,Mount Druitt,Sydney - Blacktown,1
Kandanga,4570,QLD,Kanigan,Maryborough Surrounds - South,Maryborough,Wide Bay,5
Bridgeman Downs,4035,QLD,Albany Creek,Albany Creek,Hills District,Moreton Bay - South,1
Mooroopna,3629,VIC,Ardmona,Shepparton Surrounds - West,Shepparton,Shepparton,3
Kureelpa,4560,QLD,Nambour,Nambour,Sunshine Coast Hinterland,Sunshine Coast,2
Kariong,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
North Beach,6020,WA,Watermans Bay,Trigg - North Beach - Watermans Bay,Stirling,Perth - North West,1
West Hoxton,2171,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
Kingston,7050,TAS,Kingston Beach,Kingston Beach - Blackmans Bay,Hobart Inner,Hobart,2
Mount Ousley,2519,NSW,Mount Pleasant (NSW),Balgownie - Fairy Meadow,Wollongong,Illawarra,1
Mentone,3194,VIC,Moorabbin Airport,Moorabbin Airport,Kingston,Melbourne - Inner South,1
Forest Hill,4342,QLD,Glenore Grove,Lockyer Valley - East,Toowoomba,Toowoomba,4
Lemon Tree Passage,2319,NSW,Tilligerry Creek,Williamtown - Medowie - Karuah,Port Stephens,Hunter Valley exc Newcastle,5
Torquay,3228,VIC,Torquay (Vic.),Torquay,Surf Coast - Bellarine Peninsula,Geelong,2
St Albans Park,3219,VIC,Newcomb,Newcomb - Moolap,Geelong,Geelong,1
Black Forest,5035,SA,Mile End South,Richmond (SA),West Torrens,Adelaide - West,1
Braddon,2612,ACT,Reid (ACT),Reid,North Canberra,Australian Capital Territory,1
Campbelltown,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,1
Glenorie,2157,NSW,Singletons Mill,Galston - Laughtondale,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,2
Edge Hill,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,2
Conondale,4552,QLD,Maleny,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,5
Wentworthville,2145,NSW,Merrylands,Wentworthville - Westmead,Parramatta,Sydney - Parramatta,1
Winthrop,6150,WA,Winthrop,Winthrop,Melville,Perth - South West,1
Riddells Creek,3431,VIC,Riddells Creek,Riddells Creek,Sunbury,Melbourne - North West,3
Skipton,3361,VIC,Skipton,Corangamite - North,Warrnambool - Otway Ranges,Warrnambool and South West,5
Queanbeyan East,2620,NSW,ACT Remainder - Rendezvous Creek,Namadgi,Tuggeranong,Australian Capital Territory,1
Balaclava,3183,VIC,St Kilda East,Caulfield - North,Glen Eira,Melbourne - Inner South,1
Floreat,6014,WA,Wembley,Wembley - West Leederville - Glendalough,Stirling,Perth - North West,1
Warrane,7018,TAS,Rokeby (Tas.),Rokeby,Hobart - North East,Hobart,2
St Peters,2044,NSW,St Peters (NSW),Sydenham - Tempe - St Peters,Sydney Inner City,Sydney - City and Inner South,1
Wongaling Beach,4852,QLD,Mission Beach,Tully,Innisfail - Cassowary Coast,Cairns,5
Warner,4500,QLD,Brendale,Strathpine - Brendale,Strathpine,Moreton Bay - South,1
Tyabb,3913,VIC,Tyabb,Somerville,Mornington Peninsula,Mornington Peninsula,1
Saint Lucia,4067,QLD,St Lucia,St Lucia,Sherwood - Indooroopilly,Brisbane - West,1
Keilor Lodge,3038,VIC,Taylors Lakes,Taylors Lakes,Brimbank,Melbourne - West,1
Crestmead,4132,QLD,Marsden,Marsden,Springwood - Kingston,Logan - Beaudesert,1
Maribyrnong,3032,VIC,Maribyrnong,Maribyrnong,Maribyrnong,Melbourne - West,1
Meredith,3333,VIC,Teesdale (Vic.),Golden Plains - South,Barwon - West,Geelong,5
Rivett,2611,ACT,ACT Remainder - Rendezvous Creek,Namadgi,Weston Creek,Australian Capital Territory,1
South Penrith,2750,NSW,Penrith,Cranebrook - Castlereagh,Penrith,Sydney - Outer West and Blue Mountains,1
Burnley,3121,VIC,Richmond (Vic.),Richmond - North,Yarra,Melbourne - Inner,1
Richlands,4077,QLD,Inala,Forest Lake - Ellen Grove,Forest Lake - Oxley,Ipswich,1
Seaford,5169,SA,Seaford Rise,Seaford Rise - Moana,Onkaparinga,Adelaide - South,1
Red Hill,4059,QLD,Red Hill (Brisbane - Qld),Red Hill (Qld),Brisbane Inner - West,Brisbane Inner City,1
Taigum,4018,QLD,Taigum,Taigum - Fitzgibbon,Sandgate,Brisbane - North,1
Sorrento,6020,WA,Watermans Bay,Trigg - North Beach - Watermans Bay,Stirling,Perth - North West,1
Kew East,3102,VIC,Kew East,Kew - West,Boroondara,Melbourne - Inner East,1
Mayfield,2304,NSW,Sandgate (NSW),Shortland - Jesmond,Newcastle,Newcastle and Lake Macquarie,1
Peregian Beach,4573,QLD,Peregian Beach,Noosa Hinterland,Noosa,Sunshine Coast,1
Piccadilly,6430,WA,Zanthus,Kambalda - Coolgardie - Norseman,Goldfields,Western Australia - Outback,3
Darley,3340,VIC,Parwan,Eynesbury - Exford,Melton - Bacchus Marsh,Melbourne - West,1
Helensvale,4212,QLD,Hope Island,Hope Island,Ormeau - Oxenford,Gold Coast,1
Eden Hill,6054,WA,Kiara,Lockridge - Kiara,Swan,Perth - North East,1
Morisset,2264,NSW,Morisset,Morisset - Cooranbong,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Parrearra,4575,QLD,Birtinya,Wurtulla - Birtinya,Maroochy,Sunshine Coast,1
Holsworthy,2173,NSW,Wattle Grove (NSW),Holsworthy - Wattle Grove,Liverpool,Sydney - South West,1
Gillieston Heights,2321,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,1
McDowall,4053,QLD,Everton Hills,The Hills District,Hills District,Moreton Bay - South,1
Stretton,4116,QLD,Drewvale,Parkinson - Drewvale,Sunnybank,Brisbane - South,1
Wulagi,812,NT,Wulagi,Wulagi,Darwin Suburbs,Darwin,2
Birkenhead,5015,SA,Torrens Island,Torrens Island,Port Adelaide - West,Adelaide - West,1
Boolaroo,2284,NSW,Teralba,Bolton Point - Teralba,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Sheldon,4157,QLD,Sheldon,Sheldon - Mount Cotton,Cleveland - Stradbroke,Brisbane - East,1
Dalby,4405,QLD,Wengenville,Nanango,Burnett,Wide Bay,4
Bangalow,2479,NSW,Bangalow,Bangalow,Richmond Valley - Coastal,Richmond - Tweed,4
Alawa,810,NT,Wanguri,Wanguri,Darwin Suburbs,Darwin,2
Flora Hill,3550,VIC,White Hills (Vic.),White Hills - Ascot,Bendigo,Bendigo,2
Daceyville,2032,NSW,Kingsford (NSW),Kingsford,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Guildford West,2161,NSW,Yennora,Yennora Industrial,Merrylands - Guildford,Sydney - Parramatta,1
Throsby,2914,ACT,Throsby,Throsby,Gungahlin,Australian Capital Territory,1
waterloo,4673,QLD,Yandaran,Bundaberg Surrounds - North,Bundaberg,Wide Bay,5
Bracken Ridge,4017,QLD,Sandgate (Qld),Sandgate - Shorncliffe,Sandgate,Brisbane - North,1
Moranbah,4744,QLD,Moranbah,Moranbah,Bowen Basin - North,Mackay,4
Wilson,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,1
Seville East,3139,VIC,Woori Yallock,Yarra Valley,Cardinia,Melbourne - South East,2
Mount Hunter,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,1
Charlestown,2290,NSW,Charlestown (NSW),Adamstown - Kotara,Newcastle,Newcastle and Lake Macquarie,1
Howlong,2643,NSW,Howlong,Corowa Surrounds,Upper Murray exc. Albury,Murray,5
Beaudesert,4285,QLD,Woodhill (Qld),Jimboomba - Glenlogan,Jimboomba,Logan - Beaudesert,4
Auchenflower,4066,QLD,Toowong,Toowong,Brisbane Inner - West,Brisbane Inner City,1
Waterways,3195,VIC,Parkdale,Mordialloc - Parkdale,Kingston,Melbourne - Inner South,1
Grange,5022,SA,West Lakes,West Lakes,Charles Sturt,Adelaide - West,1
Teesdale,3328,VIC,Teesdale (Vic.),Golden Plains - South,Barwon - West,Geelong,4
Langford,6147,WA,Langford,Beckenham - Kenwick - Langford,Gosnells,Perth - South East,1
Karabar,2620,NSW,ACT Remainder - Rendezvous Creek,Namadgi,Tuggeranong,Australian Capital Territory,1
Trott Park,5158,SA,O'Halloran Hill,Happy Valley,Onkaparinga,Adelaide - South,1
Berkeley,2506,NSW,Berkeley,Berkeley - Lake Heights - Cringila,Dapto - Port Kembla,Illawarra,1
Botany,2019,NSW,Botany,Botany,Botany,Sydney - City and Inner South,1
Wyee Point,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Woodside,5244,SA,Tungkillo,Mannum,Murray and Mallee,South Australia - South East,2
Bogangar,2488,NSW,Bogangar,Pottsville,Tweed Valley,Richmond - Tweed,1
Bilinga,4225,QLD,Bilinga,Currumbin - Tugun,Coolangatta,Gold Coast,1
North Melbourne,3051,VIC,North Melbourne,North Melbourne,Melbourne City,Melbourne - Inner,1
Forest Hill,3131,VIC,Nunawading,Nunawading,Whitehorse - East,Melbourne - Outer East,1
Yamba,2464,NSW,Yamba (NSW),Maclean - Yamba - Iluka,Clarence Valley,Coffs Harbour - Grafton,4
Arundel,4214,QLD,Parkwood (Qld),Parkwood,Southport,Gold Coast,1
Dunwich,4183,QLD,Point Lookout,North Stradbroke Island,Cleveland - Stradbroke,Brisbane - East,6
Corio,3214,VIC,Norlane,Norlane,Geelong,Geelong,1
Clapham,5062,SA,Netherby (SA),Mitcham (SA),Mitcham,Adelaide - South,1
South Brighton,5048,SA,Dover Gardens,Warradale,Marion,Adelaide - South,1
Mount Coolum,4573,QLD,Peregian Beach,Noosa Hinterland,Noosa,Sunshine Coast,1
Angaston,5353,SA,Swan Reach (SA),Mannum,Murray and Mallee,South Australia - South East,4
Fremantle,6160,WA,Fremantle,Fremantle,Fremantle,Perth - South West,1
Emu Park,4710,QLD,Tanby,Rockhampton Surrounds - East,Rockhampton,Fitzroy,5
Lakesland,2572,NSW,Thirlmere,Picton - Tahmoor - Buxton,Wollondilly,Sydney - Outer South West,5
Fadden,2904,ACT,Monash (ACT),Monash,Tuggeranong,Australian Capital Territory,1
O'connell,4680,QLD,West Gladstone,West Gladstone,Gladstone - Biloela,Fitzroy,3
Gordon,2906,ACT,Gordon (ACT),Gordon (ACT),Tuggeranong,Australian Capital Territory,1
Lota,4179,QLD,Manly West,Wynnum,Wynnum - Manly,Brisbane - East,1
Castle Hill,4810,QLD,Townsville City,Townsville City - North Ward,Townsville,Townsville,2
Stratford,3862,VIC,Stratford (Vic.),Maffra,Wellington,Latrobe - Gippsland,5
Shelley,6148,WA,Rossmoyne,Riverton - Shelley - Rossmoyne,Canning,Perth - South East,1
Green Point,2251,NSW,Davistown,Saratoga - Davistown,Gosford,Central Coast,1
Gwelup,6018,WA,Woodlands (WA),Wembley Downs - Churchlands - Woodlands,Stirling,Perth - North West,1
Mayfield West,2304,NSW,Sandgate (NSW),Shortland - Jesmond,Newcastle,Newcastle and Lake Macquarie,1
Alton Downs,4702,QLD,Kokotungo,Banana,Rockhampton,Fitzroy,2
Toongabbie,2146,NSW,Toongabbie (NSW),Pendle Hill - Girraween,Parramatta,Sydney - Parramatta,1
Forrestfield,6058,WA,Forrestfield,Forrestfield - Wattle Grove,Kalamunda,Perth - South East,1
Woody Point,4019,QLD,Margate (Qld),Rothwell - Kippa-Ring,North Lakes,Moreton Bay - South,1
Yarrabah,4871,QLD,West Wellesley Islands,Carpentaria,Outback - North,Queensland - Outback,5
Mitchelton,4053,QLD,Everton Hills,The Hills District,Hills District,Moreton Bay - South,1
Myrtle Bank,5064,SA,Urrbrae,Mitcham (SA),Mitcham,Adelaide - South,1
Tamarama,2026,NSW,North Bondi,Dover Heights,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
East Fremantle,6158,WA,East Fremantle,East Fremantle,Fremantle,Perth - South West,1
Diamond Valley,4553,QLD,Palmview,Landsborough,Sunshine Coast Hinterland,Sunshine Coast,2
Laverton,3028,VIC,Laverton (Vic.),Laverton,Wyndham,Melbourne - West,1
Warrimoo,2774,NSW,Mount Riverview,Blaxland - Warrimoo - Lapstone,Blue Mountains,Sydney - Outer West and Blue Mountains,1
Chippendale,2008,NSW,Chippendale,Chippendale,Sydney Inner City,Sydney - City and Inner South,1
Sydenham,2044,NSW,St Peters (NSW),Sydenham - Tempe - St Peters,Sydney Inner City,Sydney - City and Inner South,1
Newmarket,4051,QLD,Enoggera,Ashgrove,Brisbane Inner - West,Brisbane Inner City,1
Rankin Park,2287,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,1
Lucas,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,2
Bannockburn,3331,VIC,Steiglitz (Vic.),Golden Plains - South,Barwon - West,Geelong,2
Tascott,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Ourimbah,2258,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,1
Breakfast Point,2137,NSW,North Strathfield,Concord West - North Strathfield,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Holland Park West,4121,QLD,Tarragindi,Tarragindi,Nathan,Brisbane - South,1
Woodforde,5072,SA,Magill,Rostrevor - Magill,Campbelltown (SA),Adelaide - Central and Hills,1
Sydney,2000,NSW,Haymarket,Sydney (South) - Haymarket,Sydney Inner City,Sydney - City and Inner South,1
Flowerpot,7163,TAS,Middleton (Tas.),Bruny Island - Kettering,Huon - Bruny Island,South East,5
South Hedland,6722,WA,South Hedland,South Hedland,Pilbara,Western Australia - Outback,6
Spring Mountain,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,1
Taree,2430,NSW,Lansdowne (Mid-Coast - NSW),Taree Surrounds,Taree - Gloucester,Mid North Coast,3
Myocum,2481,NSW,Myocum,Mullumbimby,Richmond Valley - Coastal,Richmond - Tweed,5
Luskintyre,2321,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,2
Wangaratta,3677,VIC,Wangaratta South,Wangaratta Surrounds,Wangaratta - Benalla,Hume,3
Queanbeyan West,2620,NSW,ACT Remainder - Rendezvous Creek,Namadgi,Tuggeranong,Australian Capital Territory,1
Canada Bay,2046,NSW,Chiswick,Five Dock - Abbotsford,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Ngunnawal,2913,ACT,Taylor,Taylor,Gungahlin,Australian Capital Territory,1
Maldon,3463,VIC,Woodstock West,Loddon,Loddon - Elmore,Bendigo,5
Kenwick,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,1
Ascot,3551,VIC,Toolleen,Rushworth,Campaspe,Shepparton,2
Loftus,2232,NSW,Woronora,Woronora Heights,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Halls Head,6210,WA,Dudley Park (WA),Mandurah - South,Mandurah,Mandurah,1
Mickleham,3064,VIC,Roxburgh Park,Roxburgh Park - North,Tullamarine - Broadmeadows,Melbourne - North West,1
Glenfield Park,2650,NSW,Gregadoo,Wagga Wagga Surrounds,Wagga Wagga,Riverina,3
Beecroft,2119,NSW,Beecroft,Pennant Hills - Cheltenham,Pennant Hills - Epping,Sydney - Ryde,1
Yarrabilba,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,1
Durack,830,NT,Woodroffe,Woodroffe,Palmerston,Darwin,2
Barwon Heads,3227,VIC,Wallington,Ocean Grove,Surf Coast - Bellarine Peninsula,Geelong,2
Oak Flats,2529,NSW,Blackbutt (NSW),Warilla,Kiama - Shellharbour,Illawarra,1
Helidon,4344,QLD,Upper Flagstone,Lockyer Valley - West,Toowoomba,Toowoomba,2
Gladstone Park,3043,VIC,Tullamarine,Tullamarine,Tullamarine - Broadmeadows,Melbourne - North West,1
New Farm,4005,QLD,Teneriffe,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,1
Strathnairn,2615,ACT,Strathnairn,Strathnairn,Cotter - Namadgi,Australian Capital Territory,1
Duck Ponds,5607,SA,Tiatukia,Port Lincoln,Eyre Peninsula and South West,South Australia - Outback,6
Buddina,4575,QLD,Birtinya,Wurtulla - Birtinya,Maroochy,Sunshine Coast,1
Mount Martha,3934,VIC,Mount Martha,Mount Martha,Mornington Peninsula,Mornington Peninsula,1
Angle Vale,5117,SA,Munno Para Downs,Munno Para West - Angle Vale,Playford,Adelaide - North,1
Springton,5235,SA,Tungkillo,Mannum,Murray and Mallee,South Australia - South East,5
Hamilton North,2292,NSW,Hamilton (NSW),Hamilton - Broadmeadow,Newcastle,Newcastle and Lake Macquarie,1
Tewantin,4565,QLD,Cootharaba,Noosa Hinterland,Noosa,Sunshine Coast,1
Aintree,3336,VIC,Fraser Rise,Fraser Rise - Plumpton,0,0,1
Norwest,2153,NSW,Winston Hills,Winston Hills,Parramatta,Sydney - Parramatta,1
Mount Sheridan,4868,QLD,Woree,Woree,Cairns - South,Cairns,2
whalan,2770,NSW,Minchinbury,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,1
Byford,6122,WA,Whitby,Mundijong,Serpentine - Jarrahdale,Perth - South East,1
Deanside,3335,VIC,Plumpton (Vic.),Fraser Rise - Plumpton,Melton - Bacchus Marsh,Melbourne - West,1
West Lakes,5021,SA,West Lakes,West Lakes,Charles Sturt,Adelaide - West,1
Mallacoota,3892,VIC,Mallacoota,Orbost,Gippsland - East,Latrobe - Gippsland,6
Parklands,4560,QLD,Nambour,Nambour,Sunshine Coast Hinterland,Sunshine Coast,1
Bonegilla,3691,VIC,Wodonga,Wodonga,Wodonga - Alpine,Hume,2
Bundeena,2230,NSW,Woolooware,Woolooware - Burraneer,Sutherland - Menai - Heathcote,Sydney - Sutherland,5
Bli Bli,4560,QLD,Nambour,Nambour,Sunshine Coast Hinterland,Sunshine Coast,1
Mount Pritchard,2170,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
Clothiers Creek,2484,NSW,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,2
San Remo,2262,NSW,Doyalson North,Lake Munmorah - Mannering Park,Wyong,Central Coast,1
Darlington,5047,SA,Darlington (SA),Flagstaff Hill,Onkaparinga,Adelaide - South,1
Tumbi Umbi,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,1
Fairfield,2165,NSW,Wakeley,St Johns Park - Wakeley,Fairfield,Sydney - South West,1
Miners Rest,3352,VIC,Werneth,Corangamite - North,Warrnambool - Otway Ranges,Warrnambool and South West,2
Ferryden Park,5010,SA,Angle Park,The Parks,Port Adelaide - West,Adelaide - West,1
Gladysdale,3797,VIC,Yarra Junction,Yarra Valley,Yarra Ranges,Melbourne - Outer East,5
Swansea Heads,2281,NSW,Swansea (NSW),Swansea - Caves Beach,Lake Macquarie - East,Newcastle and Lake Macquarie,1
Crib Point,3919,VIC,Crib Point,Hastings - Somers,Mornington Peninsula,Mornington Peninsula,1
Kotara,2289,NSW,Kotara,Lambton - New Lambton,Newcastle,Newcastle and Lake Macquarie,1
Urrbrae,5064,SA,Urrbrae,Mitcham (SA),Mitcham,Adelaide - South,1
Giralang,2617,ACT,O'Connor (ACT),O'Connor (ACT),North Canberra,Australian Capital Territory,1
Tweed Heads West,2485,NSW,Tweed Heads,Tweed Heads,Coolangatta,Gold Coast,1
Moncrieff,2914,ACT,Throsby,Throsby,Gungahlin,Australian Capital Territory,1
Freshwater,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,2
