nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,Median total income($)
Swan Hill,3585,VIC,Ultima East,Swan Hill Surrounds,Murray River - Swan Hill,North West,43619
Swan View,6056,WA,Helena Valley,Kalamunda - Maida Vale - Gooseberry Hill,Kalamunda,Perth - South East,53123
Swanbourne,6010,WA,Mount Claremont,Swanbourne - Mount Claremont,Cottesloe - Claremont,Perth - Inner,71283
Swansea,2281,NSW,Swansea (NSW),Swansea - Caves Beach,Lake Macquarie - East,Newcastle and Lake Macquarie,50308
Swansea Heads,2281,NSW,Swansea (NSW),Swansea - Caves Beach,Lake Macquarie - East,Newcastle and Lake Macquarie,50308
Sydenham,2044,NSW,St Peters (NSW),Sydenham - Tempe - St Peters,Sydney Inner City,Sydney - City and Inner South,65392
Sydenham,3037,VIC,Hillside (Melton - Vic.),Hillside,Melton - Bacchus Marsh,Melbourne - West,65392
Sydney,2000,NSW,Haymarket,Sydney (South) - Haymarket,Sydney Inner City,Sydney - City and Inner South,55600
Sydney Olympic Park,2127,NSW,Wentworth Point,Wentworth Point - Sydney Olympic Park,Auburn,Sydney - Parramatta,40326
Sylvania,2224,NSW,Sylvania,Sylvania - Taren Point,Sutherland - Menai - Heathcote,Sydney - Sutherland,53600
Sylvania Waters,2224,NSW,Sylvania,Sylvania - Taren Point,Sutherland - Menai - Heathcote,Sydney - Sutherland,53600
Table Top,2640,NSW,Welaregang,Tumbarumba,Wodonga - Alpine,Hume,45354
Tahmoor,2573,NSW,Thirlmere,Picton - Tahmoor - Buxton,Wollondilly,Sydney - Outer South West,55890
Taigum,4018,QLD,Taigum,Taigum - Fitzgibbon,Sandgate,Brisbane - North,52280
Talbingo,2720,NSW,Wyangle,Tumut Surrounds,Tumut - Tumbarumba,Riverina,46812
Tallai,4213,QLD,Tallai,Worongary - Tallai,Nerang,Gold Coast,48241
Tallangatta,3700,VIC,Tallangatta Valley,Towong,Wodonga - Alpine,Hume,42687
Tallarook,3659,VIC,Tallarook,Seymour Surrounds,Upper Goulburn Valley,Hume,54521
Tallawong,2762,NSW,Tallawong,Schofields - East,Blacktown - North,Sydney - Blacktown,63948
Tallebudgera,4228,QLD,Tallebudgera,Currumbin Valley - Tallebudgera,Mudgeeraba - Tallebudgera,Gold Coast,48886
Tallwoods Village,2430,NSW,Lansdowne (Mid-Coast - NSW),Taree Surrounds,Taree - Gloucester,Mid North Coast,35635
Tallygaroopna,3634,VIC,Marungi,Shepparton Surrounds - East,Shepparton,Shepparton,44524
Tamarama,2026,NSW,North Bondi,Dover Heights,Eastern Suburbs - North,Sydney - Eastern Suburbs,69585
Tamborine,4270,QLD,Yarrabilba,Yarrabilba,Jimboomba,Logan - Beaudesert,45755
Tamborine Mountain,4272,QLD,Tamborine Mountain,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,45755
Tanah Merah,4128,QLD,Shailer Park,Daisy Hill,Springwood - Kingston,Logan - Beaudesert,53650
Tanawha,4556,QLD,Forest Glen (Qld),Diddillibah - Rosemount,Nambour - Pomona,Sunshine Coast,46366
Tanilba Bay,2319,NSW,Tilligerry Creek,Williamtown - Medowie - Karuah,Port Stephens,Hunter Valley exc Newcastle,43612
Tannum Sands,4680,QLD,West Gladstone,West Gladstone,Gladstone - Biloela,Fitzroy,64278
Tanunda,5352,SA,Tanunda,Tanunda,Barossa,Barossa - Yorke - Mid North,51772
Taperoo,5017,SA,Osborne (SA),North Haven,Port Adelaide - West,Adelaide - West,54190
Tapping,6065,WA,Wanneroo,Wanneroo - Sinagra,Wanneroo,Perth - North West,57861
Taradale,2653,NSW,Pilot Wilderness,Tumbarumba,Tumut - Tumbarumba,Riverina,45354
Tarcoola Beach,6530,WA,Houtman Abrolhos,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback,41614
